task,class,condition,rep,findings,kg_calls,seconds
101,file,control,1,0,0,9
102,file,control,1,0,0,44
103,file,control,1,0,0,61
104,file,control,1,0,0,40
105,file,control,1,0,0,64
106,file,control,1,0,0,18
107,file,control,1,2,0,13
108,file,control,1,0,0,10
109,file,control,1,0,0,73
110,file,control,1,1,0,11
111,file,control,1,2,0,22
112,file,control,1,0,0,38
113,file,control,1,0,0,136
114,file,control,1,0,0,34
115,file,control,1,0,0,31
201,module,control,1,3,0,17
202,module,control,1,3,0,14
203,module,control,1,0,0,41
204,module,control,1,0,0,19
205,module,control,1,4,0,19
101,file,treatment,1,0,4,17
102,file,treatment,1,0,0,12
103,file,treatment,1,1,4,18
104,file,treatment,1,1,8,26
105,file,treatment,1,2,0,15
106,file,treatment,1,0,2,13
107,file,treatment,1,1,2,16
108,file,treatment,1,2,6,31
109,file,treatment,1,1,4,20
110,file,treatment,1,1,2,17
111,file,treatment,1,3,6,26
112,file,treatment,1,2,0,16
113,file,treatment,1,2,2,17
114,file,treatment,1,1,0,17
115,file,treatment,1,1,6,19
201,module,treatment,1,4,0,19
202,module,treatment,1,2,6,21
203,module,treatment,1,0,4,18
204,module,treatment,1,3,4,28
205,module,treatment,1,3,4,27
101,file,control,2,0,0,23
102,file,control,2,1,0,12
103,file,control,2,0,0,59
104,file,control,2,0,0,49
105,file,control,2,0,0,10
106,file,control,2,0,0,10
107,file,control,2,1,0,12
108,file,control,2,0,0,9
109,file,control,2,2,0,12
110,file,control,2,2,0,13
111,file,control,2,0,0,60
112,file,control,2,2,0,14
113,file,control,2,0,0,39
114,file,control,2,0,0,29
115,file,control,2,0,0,64
201,module,control,2,3,0,15
202,module,control,2,3,0,16
203,module,control,2,0,0,32
204,module,control,2,0,0,22
205,module,control,2,3,0,18
101,file,treatment,2,0,4,17
102,file,treatment,2,0,6,19
103,file,treatment,2,2,4,22
104,file,treatment,2,2,0,18
105,file,treatment,2,1,2,16
106,file,treatment,2,0,4,16
107,file,treatment,2,1,2,15
108,file,treatment,2,1,8,27
109,file,treatment,2,2,0,15
110,file,treatment,2,2,2,18
111,file,treatment,2,2,10,27
112,file,treatment,2,1,0,12
113,file,treatment,2,2,2,18
114,file,treatment,2,2,4,27
115,file,treatment,2,1,2,17
201,module,treatment,2,4,0,19
202,module,treatment,2,2,6,23
203,module,treatment,2,0,0,12
204,module,treatment,2,2,0,25
205,module,treatment,2,3,4,29
101,file,control,3,0,0,10
102,file,control,3,0,0,10
103,file,control,3,0,0,162
104,file,control,3,2,0,13
105,file,control,3,2,0,13
106,file,control,3,0,0,8
107,file,control,3,2,0,13
108,file,control,3,1,0,12
109,file,control,3,0,0,38
110,file,control,3,0,0,75
111,file,control,3,2,0,15
112,file,control,3,1,0,11
113,file,control,3,0,0,11
114,file,control,3,3,0,73
115,file,control,3,0,0,33
201,module,control,3,0,0,17
202,module,control,3,3,0,15
203,module,control,3,2,0,13
204,module,control,3,0,0,25
205,module,control,3,3,0,19
101,file,treatment,3,0,4,17
102,file,treatment,3,0,0,11
103,file,treatment,3,1,4,19
104,file,treatment,3,0,4,18
105,file,treatment,3,1,2,16
106,file,treatment,3,0,2,14
107,file,treatment,3,0,2,14
108,file,treatment,3,0,4,17
109,file,treatment,3,3,0,17
110,file,treatment,3,1,4,19
111,file,treatment,3,1,8,24
112,file,treatment,3,1,0,11
113,file,treatment,3,2,2,20
114,file,treatment,3,1,0,14
115,file,treatment,3,1,4,19
201,module,treatment,3,4,0,23
202,module,treatment,3,3,6,24
203,module,treatment,3,0,0,11
204,module,treatment,3,2,4,24
205,module,treatment,3,0,6,44
